,uid,type,Interested,Distressed,Upset,Strong,Guilty,Scared,Hostile ,Enthusiastic,Proud,Irritable,Alert,Inspired,Nervous,Determined ,Attentive,Jittery,Active ,Afraid 
61,u20,post,2,4,4,4,3.0,3,1,2,2,1,3,3.0,4.0,3,3.0,3.0,3,3
62,u23,post,2,2,3,2,1.0,2,4,4,4,4,3,4.0,4.0,3,4.0,3.0,2,1
63,u24,post,2,4,2,2,1.0,1,1,2,3,2,3,1.0,2.0,4,2.0,3.0,3,2
64,u27,post,2,3,1,2,1.0,3,1,2,2,4,3,2.0,4.0,2,3.0,3.0,1,3
65,u30,post,4,1,1,4,5.0,5,1,3,4,1,4,3.0,1.0,4,4.0,1.0,4,5
66,u31,post,2,3,4,2,5.0,5,5,3,2,4,2,3.0,4.0,3,2.0,2.0,1,5
67,u32,post,5,3,2,4,1.0,1,1,4,5,3,4,5.0,1.0,5,5.0,2.0,4,1
68,u33,post,4,5,5,2,2.0,2,2,4,4,2,3,3.0,4.0,3,2.0,3.0,1,3
69,u34,post,3,3,2,2,1.0,1,1,3,2,1,2,4.0,3.0,3,2.0,1.0,3,1
70,u35,post,2,4,3,2,1.0,1,1,3,3,1,1,3.0,2.0,2,2.0,1.0,2,1
71,u36,post,4,2,2,4,1.0,2,1,3,3,3,3,3.0,3.0,4,4.0,3.0,4,2
72,u42,post,5,3,3,5,1.0,1,3,4,4,3,4,4.0,2.0,4,3.0,3.0,3,2
73,u43,post,4,3,2,3,2.0,3,1,4,4,2,3,3.0,3.0,5,4.0,2.0,2,3
74,u44,post,4,3,3,1,1.0,2,1,4,2,3,3,3.0,3.0,3,4.0,3.0,4,3
75,u45,post,2,4,1,3,3.0,1,1,3,3,3,3,4.0,2.0,2,3.0,2.0,4,1
76,u46,post,2,5,5,3,1.0,2,5,5,3,5,3,5.0,4.0,4,4.0,5.0,2,2
77,u47,post,3,1,1,5,1.0,1,2,4,4,1,1,5.0,2.0,4,5.0,1.0,4,1
78,u49,post,5,3,2,3,1.0,1,1,5,5,2,3,5.0,2.0,5,3.0,2.0,3,2
79,u51,post,3,2,1,3,1.0,1,1,3,3,2,2,3.0,2.0,3,3.0,1.0,3,1
80,u52,post,2,5,5,2,1.0,5,3,5,4,5,3,2.0,5.0,3,4.0,5.0,1,5
81,u53,post,5,3,2,3,1.0,1,2,4,4,2,3,4.0,4.0,5,4.0,1.0,1,1
82,u54,post,2,5,5,2,3.0,2,1,3,2,3,4,2.0,4.0,3,1.0,2.0,2,1
83,u56,post,4,2,2,3,2.0,1,1,3,3,2,3,4.0,2.0,3,3.0,2.0,3,1
84,u59,post,4,1,2,4,2.0,5,2,5,5,3,4,3.0,5.0,5,4.0,4.0,3,5
